seed,r2_nodelta,r2_delta,diff
0,0.08221496928609706,0.08012749549216902,-0.0020874737939280408
1,0.08207566742769279,0.07715293762333619,-0.004922729804356596
2,0.08067737909674488,0.0781201607313543,-0.002557218365390579
3,0.07556658590068888,0.08370262382690374,0.008136037926214867
4,0.08083199555310683,0.07756565139856941,-0.003266344154537415
5,0.07881983015048855,0.07626348062251997,-0.002556349527968571
6,0.07940490998507721,0.0835334343010119,0.00412852431593469
7,0.07882145695068277,0.08026558544674012,0.0014441284960573508
8,0.07722050451422113,0.08243902926354696,0.005218524749325826
9,0.07758461409413886,0.08004059308116673,0.0024559789870278737
10,0.08002442563247869,0.08232127634576902,0.0022968507132903326
11,0.07553264697954798,0.0828244294483812,0.007291782468833219
12,0.07859244689288958,0.08161205439545871,0.0030196075025691327
13,0.07875519802522135,0.08125622260820486,0.002501024582983513
14,0.07733437116706832,0.08268613137492387,0.005351760207855549
15,0.0764899249793688,0.08132762318428588,0.004837698204917085
16,0.07869171183494039,0.07905162120179077,0.000359909366850375
17,0.07704115512195875,0.07768632132494746,0.0006451662029887117
18,0.07370550145242882,0.07843026189160529,0.0047247604391764675
19,0.08226582903767565,0.08092125023597263,-0.0013445788017030225
20,0.08032596631463074,0.08050466771851716,0.00017870140388642763
21,0.08200435161298325,0.080878310610351,-0.0011260410026322498
22,0.07504749087038776,0.08081355074132712,0.005766059870939366
23,0.07924685991351366,0.0771973224608955,-0.0020495374526181553
24,0.07978793979893284,0.07867366597044456,-0.001114273828488277
25,0.07697487581062223,0.0772870149508168,0.00031213914019456723
26,0.0793575345897174,0.08060020756320929,0.0012426729734918984
27,0.07571489438720791,0.08079771927345669,0.005082824886248782
28,0.07805636875461641,0.08402806763528703,0.005971698880670617
29,0.07918012339886549,0.07751946795616182,-0.0016606554427036624
