seed,r2_base,r2_full,diff
0,0.0813643028589296,0.0825630229549229,0.0011987200959933109
1,0.07579188274714521,0.0812262358675565,0.005434353120411295
2,0.07733101319037727,0.0824901994657834,0.005159186275406125
3,0.07986805723868329,0.0749421472795122,-0.004925909959171082
4,0.07938687789032517,0.07684000166432281,-0.002546876226002359
5,0.07854535323642886,0.08440737000807963,0.005862016771650769
6,0.07715649728878593,0.07608189200878468,-0.0010746052800012507
7,0.08234033614316638,0.08385196557900343,0.0015116294358370475
8,0.07896679169960164,0.0787573896435454,-0.0002094020560562404
9,0.07874588779753466,0.08118874309291446,0.0024428552953797977
10,0.07670595809455316,0.07826148163066093,0.0015555235361077724
11,0.08129571681572323,0.08024851075658135,-0.0010472060591418808
12,0.07909795894661831,0.08073762060486034,0.001639661658242031
13,0.08548465548720785,0.08495384553166452,-0.0005308099555433321
14,0.08293417652579327,0.07472369553565594,-0.008210480990137325
15,0.07842910626166821,0.07862418538929328,0.00019507912762506407
16,0.08027913052634761,0.07969170541358706,-0.0005874251127605534
17,0.07775977138141277,0.08054850200551555,0.0027887306241027865
18,0.08366259998777903,0.08254599252482886,-0.0011166074629501699
19,0.08474246944689545,0.08102340012686915,-0.0037190693200263025
20,0.07572407746420318,0.07778818077900818,0.002064103314804999
21,0.0784205435669797,0.07778516883378384,-0.0006353747331958592
22,0.08032023164305235,0.07641134325037302,-0.003908888392679333
23,0.07965377642868066,0.08010903168513683,0.00045525525645617737
24,0.07889596994613957,0.079129400689681,0.00023343074354142956
25,0.07854069549760134,0.08160693118995732,0.0030662356923559786
26,0.08159084183994214,0.0801432839031716,-0.0014475579367705382
27,0.08418939868310071,0.08040385430310404,-0.003785544379996675
28,0.07910473327903689,0.08042808755479192,0.0013233542757550287
29,0.08084709626591802,0.07862557993946362,-0.002221516326454398
